Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range;Overload
-1.24893188476563;53.6418998645672;-0.03253173828125;-1.25;1;10 mA;
-1.24786376953125;53.8555228640279;-0.0349456787109375;-1.2493896484375;2;10 mA;
-1.24679565429688;54.0691458634885;-0.0357177734375;-1.24755859375;3;10 mA;
-1.2457275390625;54.2827688629492;-0.0357635498046875;-1.24664306640625;4;10 mA;
-1.24465942382813;54.4963918624098;-0.0353912353515625;-1.24542236328125;5;10 mA;
-1.24359130859375;54.7100148618705;-0.03468017578125;-1.24481201171875;6;10 mA;
-1.24252319335938;54.9236378613311;-0.0337615966796875;-1.2451171875;7;10 mA;
-1.241455078125;55.1372608607918;-0.0327423095703125;-1.24298095703125;8;10 mA;
-1.24038696289063;55.3508838602525;-0.0316009521484375;-1.24114990234375;9;10 mA;
-1.23931884765625;55.5645068597131;-0.030279541015625;-1.23931884765625;10;10 mA;
-1.23825073242188;55.7781298591738;-0.0287506103515625;-1.23870849609375;11;10 mA;
-1.2371826171875;55.9917528586344;-0.026995849609375;-1.23687744140625;12;10 mA;
-1.23611450195313;56.2053758580951;-0.0250396728515625;-1.23687744140625;13;10 mA;
-1.23504638671875;56.4189988575557;-0.0230224609375;-1.23565673828125;14;10 mA;
-1.23397827148438;56.6326218570164;-0.021044921875;-1.23443603515625;15;10 mA;
-1.23291015625;56.846244856477;-0.0191192626953125;-1.2335205078125;16;10 mA;
-1.23184204101563;57.0598678559377;-0.01722412109375;-1.23260498046875;17;10 mA;
-1.23077392578125;57.2734908553983;-0.015423583984375;-1.23016357421875;18;10 mA;
-1.22970581054688;57.487113854859;-0.01380615234375;-1.23046875;19;10 mA;
-1.2286376953125;57.7007368543196;-0.0124267578125;-1.2286376953125;20;10 mA;
-1.22756958007813;57.9143598537803;-0.0112884521484375;-1.22833251953125;21;10 mA;
-1.22650146484375;58.127982853241;-0.0103302001953125;-1.22711181640625;22;10 mA;
-1.22543334960938;58.3416058527016;-0.0095123291015625;-1.226806640625;23;10 mA;
-1.224365234375;58.5552288521623;-0.00880126953125;-1.2255859375;24;10 mA;
-1.22329711914063;58.7688518516229;-0.0081756591796875;-1.2237548828125;25;10 mA;
-1.22222900390625;58.9824748510836;-0.007623291015625;-1.22406005859375;26;10 mA;
-1.22116088867188;59.1960978505442;-0.00712890625;-1.22344970703125;27;10 mA;
-1.2200927734375;59.4097208500049;-0.006683349609375;-1.22039794921875;28;10 mA;
-1.21902465820313;59.6233438494655;-0.0062774658203125;-1.21917724609375;29;10 mA;
-1.21795654296875;59.8369668489262;-0.0059173583984375;-1.21795654296875;30;10 mA;
-1.21688842773438;60.0505898483868;-0.0055816650390625;-1.2176513671875;31;10 mA;
-1.2158203125;60.2642128478475;-0.005279541015625;-1.217041015625;32;10 mA;
-1.21475219726563;60.4778358473081;-0.0050018310546875;-1.21551513671875;33;10 mA;
-1.21368408203125;60.6914588467688;-0.00475311279296875;-1.2139892578125;34;10 mA;
-1.21261596679688;60.9050818462295;-0.00451568603515625;-1.21429443359375;35;10 mA;
-1.2115478515625;61.1187048456901;-0.0042987060546875;-1.21246337890625;36;10 mA;
-1.21047973632813;61.3323278451508;-0.004095458984375;-1.21124267578125;37;10 mA;
-1.20941162109375;61.5459508446114;-0.0039068603515625;-1.20941162109375;38;10 mA;
-1.20834350585938;61.7595738440721;-0.00373291015625;-1.20880126953125;39;10 mA;
-1.207275390625;61.9731968435327;-0.00356964111328125;-1.207275390625;40;10 mA;
-1.20620727539063;62.1868198429934;-0.003416748046875;-1.20697021484375;41;10 mA;
-1.20513916015625;62.400442842454;-0.003275146484375;-1.20513916015625;42;10 mA;
-1.20407104492188;62.6140658419147;-0.00314178466796875;-1.204833984375;43;10 mA;
-1.2030029296875;62.8276888413753;-0.0030157470703125;-1.20330810546875;44;10 mA;
-1.20193481445313;63.041311840836;-0.00289886474609375;-1.2030029296875;45;10 mA;
-1.20086669921875;63.2549348402966;-0.00278778076171875;-1.2017822265625;46;10 mA;
-1.19979858398438;63.4685578397573;-0.00268218994140625;-1.19964599609375;47;10 mA;
-1.19873046875;63.6821808392179;-0.00258514404296875;-1.19903564453125;48;10 mA;
-1.19766235351563;63.8958038386786;-0.002490234375;-1.19659423828125;49;10 mA;
-1.19659423828125;64.1094268381393;-0.0024005126953125;-1.19781494140625;50;10 mA;
-1.19552612304688;64.3230498375999;-0.002318115234375;-1.19720458984375;51;10 mA;
-1.1944580078125;64.5366728370606;-0.00224151611328125;-1.19384765625;52;10 mA;
-1.19338989257813;64.7502958365212;-0.00216705322265625;-1.19384765625;53;10 mA;
-1.19232177734375;64.9639188359819;-0.0020977783203125;-1.19232177734375;54;10 mA;
-1.19125366210938;65.1775418354425;-0.002032470703125;-1.1932373046875;55;10 mA;
-1.190185546875;65.3911648349032;-0.00196929931640625;-1.19140625;56;10 mA;
-1.18911743164063;65.6047878343638;-0.00190765380859375;-1.18988037109375;57;10 mA;
-1.18804931640625;65.8184108338245;-0.0018499755859375;-1.18865966796875;58;10 mA;
-1.18698120117188;66.0320338332851;-0.001793212890625;-1.18743896484375;59;10 mA;
-1.1859130859375;66.2456568327458;-0.0017401123046875;-1.1859130859375;60;10 mA;
-1.18484497070313;66.4592798322064;-0.0016900634765625;-1.18499755859375;61;10 mA;
-1.18377685546875;66.6729028316671;-0.00164093017578125;-1.18408203125;62;10 mA;
-1.18270874023438;66.8865258311278;-0.00159271240234375;-1.18377685546875;63;10 mA;
-1.181640625;67.1001488305884;-0.0015496826171875;-1.18255615234375;64;10 mA;
-1.18057250976563;67.3137718300491;-0.00150482177734375;-1.18072509765625;65;10 mA;
-1.17950439453125;67.5273948295097;-0.00146270751953125;-1.17919921875;66;10 mA;
-1.17843627929688;67.7410178289704;-0.001424560546875;-1.17889404296875;67;10 mA;
-1.1773681640625;67.954640828431;-0.001387939453125;-1.17828369140625;68;10 mA;
-1.17630004882813;68.1682638278917;-0.00135162353515625;-1.17767333984375;69;10 mA;
-1.17523193359375;68.3818868273523;-0.001318359375;-1.17584228515625;70;10 mA;
-1.17416381835938;68.595509826813;-0.00128509521484375;-1.17462158203125;71;10 mA;
-1.173095703125;68.8091328262736;-0.0012518310546875;-1.17340087890625;72;10 mA;
-1.17202758789063;69.0227558257343;-0.00122100830078125;-1.1724853515625;73;10 mA;
-1.17095947265625;69.2363788251949;-0.00119049072265625;-1.1724853515625;74;10 mA;
-1.16989135742188;69.4500018246556;-0.00115966796875;-1.17034912109375;75;10 mA;
-1.1688232421875;69.6636248241163;-0.00113189697265625;-1.16973876953125;76;10 mA;
-1.16775512695313;69.8772478235769;-0.0011053466796875;-1.16912841796875;77;10 mA;
-1.16668701171875;70.0908708230376;-0.00107879638671875;-1.16912841796875;78;10 mA;
-1.16561889648438;70.3044938224982;-0.00105438232421875;-1.16668701171875;79;10 mA;
-1.16455078125;70.5181168219589;-0.00103240966796875;-1.16455078125;80;10 mA;
-1.16348266601563;70.7317398214195;-0.00100738525390625;-1.16485595703125;81;10 mA;
-1.16241455078125;70.9453628208802;-0.0009857177734375;-1.1639404296875;82;10 mA;
-1.16134643554688;71.1589858203408;-0.00096435546875;-1.16180419921875;83;10 mA;
-1.1602783203125;71.3726088198015;-0.0009429931640625;-1.16058349609375;84;10 mA;
-1.15921020507813;71.5862318192621;-0.00092315673828125;-1.15936279296875;85;10 mA;
-1.15814208984375;71.7998548187228;-0.0009051513671875;-1.158447265625;86;10 mA;
-1.15707397460938;72.0134778181834;-0.0008837890625;-1.15875244140625;87;1 mA;
-1.156005859375;72.2271008176441;-0.0008642578125;-1.15631103515625;88;1 mA;
-1.15493774414063;72.4407238171048;-0.00084808349609375;-1.15509033203125;89;1 mA;
-1.15386962890625;72.6543468165654;-0.000830078125;-1.15447998046875;90;1 mA;
-1.15280151367188;72.8679698160261;-0.000811767578125;-1.15234375;91;1 mA;
-1.1517333984375;73.0815928154867;-0.00079681396484375;-1.15142822265625;92;1 mA;
-1.15066528320313;73.2952158149474;-0.00077972412109375;-1.15234375;93;1 mA;
-1.14959716796875;73.508838814408;-0.00076324462890625;-1.15081787109375;94;1 mA;
-1.14852905273438;73.7224618138687;-0.00074920654296875;-1.14898681640625;95;1 mA;
-1.1474609375;73.9360848133293;-0.0007354736328125;-1.14837646484375;96;1 mA;
-1.14639282226563;74.14970781279;-0.0007196044921875;-1.14715576171875;97;1 mA;
-1.14532470703125;74.3633308122506;-0.0007073974609375;-1.14532470703125;98;1 mA;
-1.14425659179688;74.5769538117113;-0.00069427490234375;-1.1444091796875;99;1 mA;
-1.1431884765625;74.7905768111719;-0.00068023681640625;-1.14410400390625;100;1 mA;
-1.14212036132813;75.0041998106326;-0.0006683349609375;-1.142578125;101;1 mA;
-1.14105224609375;75.2178228100933;-0.00065704345703125;-1.14166259765625;102;1 mA;
-1.13998413085938;75.4314458095539;-0.000643310546875;-1.1407470703125;103;1 mA;
-1.138916015625;75.6450688090146;-0.00063262939453125;-1.13983154296875;104;1 mA;
-1.13784790039063;75.8586918084752;-0.00062225341796875;-1.13861083984375;105;1 mA;
-1.13677978515625;76.0723148079359;-0.000609130859375;-1.1376953125;106;1 mA;
-1.13571166992188;76.2859378073965;-0.00059844970703125;-1.1358642578125;107;1 mA;
-1.1346435546875;76.4995608068572;-0.000589599609375;-1.13525390625;108;1 mA;
-1.13357543945313;76.7131838063178;-0.0005780029296875;-1.13433837890625;109;1 mA;
-1.13250732421875;76.9268068057785;-0.0005682373046875;-1.1328125;110;1 mA;
-1.13143920898438;77.1404298052391;-0.00055908203125;-1.13189697265625;111;1 mA;
-1.13037109375;77.3540528046998;-0.00054901123046875;-1.13067626953125;112;1 mA;
-1.12930297851563;77.5676758041604;-0.00054046630859375;-1.1297607421875;113;1 mA;
-1.12823486328125;77.7812988036211;-0.0005328369140625;-1.13006591796875;114;1 mA;
-1.12716674804688;77.9949218030818;-0.0005230712890625;-1.12762451171875;115;1 mA;
-1.1260986328125;78.2085448025424;-0.00051361083984375;-1.12640380859375;116;1 mA;
-1.12503051757813;78.4221678020031;-0.00050750732421875;-1.12518310546875;117;1 mA;
-1.12396240234375;78.6357908014637;-0.0004986572265625;-1.12579345703125;118;1 mA;
-1.12289428710938;78.8494138009244;-0.000489501953125;-1.123046875;119;1 mA;
-1.121826171875;79.063036800385;-0.00048370361328125;-1.12274169921875;120;1 mA;
-1.12075805664063;79.2766597998457;-0.0004754638671875;-1.12030029296875;121;1 mA;
-1.11968994140625;79.4902827993063;-0.00046722412109375;-1.1212158203125;122;1 mA;
-1.11862182617188;79.703905798767;-0.00046173095703125;-1.11968994140625;123;1 mA;
-1.1175537109375;79.9175287982276;-0.0004547119140625;-1.1181640625;124;1 mA;
-1.11648559570313;80.1311517976883;-0.00044677734375;-1.1163330078125;125;1 mA;
-1.11541748046875;80.3447747971489;-0.00044158935546875;-1.11602783203125;126;1 mA;
-1.11434936523438;80.5583977966096;-0.00043487548828125;-1.11541748046875;127;1 mA;
-1.11328125;80.7720207960703;-0.00042816162109375;-1.1138916015625;128;1 mA;
-1.11221313476563;80.9856437955309;-0.000422210693359375;-1.11175537109375;129;1 mA;
-1.11114501953125;81.1992667949916;-0.000416656494140625;-1.10992431640625;130;1 mA;
-1.11007690429688;81.4128897944522;-0.000409393310546875;-1.11053466796875;131;1 mA;
-1.1090087890625;81.6265127939129;-0.000404449462890625;-1.1090087890625;132;1 mA;
-1.10794067382813;81.8401357933735;-0.000399322509765625;-1.10931396484375;133;1 mA;
-1.10687255859375;82.0537587928342;-0.000392364501953125;-1.1077880859375;134;1 mA;
-1.10580444335938;82.2673817922948;-0.000386932373046875;-1.10626220703125;135;1 mA;
-1.104736328125;82.4810047917555;-0.0003826904296875;-1.10443115234375;136;1 mA;
-1.10366821289063;82.6946277912161;-0.0003759765625;-1.1041259765625;137;1 mA;
-1.10260009765625;82.9082507906768;-0.000370452880859375;-1.10382080078125;138;1 mA;
-1.10153198242188;83.1218737901374;-0.000365997314453125;-1.10260009765625;139;1 mA;
-1.1004638671875;83.3354967895981;-0.00035992431640625;-1.10107421875;140;1 mA;
-1.09939575195313;83.5491197890588;-0.0003546142578125;-1.10076904296875;141;1 mA;
-1.09832763671875;83.7627427885194;-0.000350799560546875;-1.1004638671875;142;1 mA;
-1.09725952148438;83.9763657879801;-0.000345001220703125;-1.09832763671875;143;1 mA;
-1.09619140625;84.1899887874407;-0.000340087890625;-1.09649658203125;144;1 mA;
-1.09512329101563;84.4036117869014;-0.000336029052734375;-1.09588623046875;145;1 mA;
-1.09405517578125;84.617234786362;-0.0003310546875;-1.09405517578125;146;1 mA;
-1.09298706054688;84.8308577858227;-0.00032537841796875;-1.0931396484375;147;1 mA;
-1.0919189453125;85.0444807852833;-0.000321990966796875;-1.0931396484375;148;1 mA;
-1.09085083007813;85.258103784744;-0.0003170166015625;-1.09283447265625;149;1 mA;
-1.08978271484375;85.4717267842046;-0.00031170654296875;-1.09039306640625;150;1 mA;
-1.08871459960938;85.6853497836653;-0.000308563232421875;-1.0906982421875;151;1 mA;
-1.087646484375;85.8989727831259;-0.000304168701171875;-1.0882568359375;152;1 mA;
-1.08657836914063;86.1125957825866;-0.000298736572265625;-1.08734130859375;153;1 mA;
-1.08551025390625;86.3262187820472;-0.000295562744140625;-1.08551025390625;154;1 mA;
-1.08444213867188;86.5398417815079;-0.00029156494140625;-1.0845947265625;155;1 mA;
-1.0833740234375;86.7534647809686;-0.000286590576171875;-1.08367919921875;156;1 mA;
-1.08230590820313;86.9670877804292;-0.000283050537109375;-1.08245849609375;157;1 mA;
-1.08123779296875;87.1807107798899;-0.0002799072265625;-1.0821533203125;158;1 mA;
-1.08016967773438;87.3943337793505;-0.000274688720703125;-1.08062744140625;159;1 mA;
-1.0791015625;87.6079567788112;-0.000271697998046875;-1.0791015625;160;1 mA;
-1.07803344726563;87.8215797782718;-0.0002685546875;-1.07940673828125;161;1 mA;
-1.07696533203125;88.0352027777325;-0.000263671875;-1.07757568359375;162;1 mA;
-1.07589721679688;88.2488257771931;-0.000260345458984375;-1.07757568359375;163;1 mA;
-1.0748291015625;88.4624487766538;-0.00025811767578125;-1.07513427734375;164;1 mA;
-1.07376098632813;88.6760717761144;-0.0002532958984375;-1.07452392578125;165;1 mA;
-1.07269287109375;88.8896947755751;-0.00025;-1.07391357421875;166;1 mA;
-1.07162475585938;89.1033177750357;-0.000247467041015625;-1.07177734375;167;1 mA;
-1.070556640625;89.3169407744964;-0.000243316650390625;-1.0699462890625;168;1 mA;
-1.06948852539063;89.5305637739571;-0.000239898681640625;-1.06964111328125;169;1 mA;
-1.06842041015625;89.7441867734177;-0.00023760986328125;-1.06842041015625;170;1 mA;
-1.06735229492188;89.9578097728784;-0.000233551025390625;-1.06719970703125;171;1 mA;
-1.0662841796875;90.171432772339;-0.000230133056640625;-1.06781005859375;172;1 mA;
-1.06521606445313;90.3850557717997;-0.00022796630859375;-1.06597900390625;173;1 mA;
-1.06414794921875;90.5986787712603;-0.00022467041015625;-1.06475830078125;174;1 mA;
-1.06307983398438;90.812301770721;-0.000220977783203125;-1.0638427734375;175;1 mA;
-1.06201171875;91.0259247701816;-0.000219757080078125;-1.06414794921875;176;1 mA;
-1.06094360351563;91.2395477696423;-0.00021624755859375;-1.06109619140625;177;1 mA;
-1.05987548828125;91.4531707691029;-0.00021319580078125;-1.0601806640625;178;1 mA;
-1.05880737304688;91.6667937685636;-0.000211578369140625;-1.05926513671875;179;1 mA;
-1.0577392578125;91.8804167680242;-0.000209564208984375;-1.05865478515625;180;1 mA;
-1.05667114257813;92.0940397674849;-0.000206085205078125;-1.05804443359375;181;1 mA;
-1.05560302734375;92.3076627669456;-0.0002049560546875;-1.055908203125;182;1 mA;
-1.05453491210938;92.5212857664062;-0.000202667236328125;-1.05712890625;183;1 mA;
-1.053466796875;92.7349087658669;-0.000198822021484375;-1.0546875;184;1 mA;
-1.05239868164063;92.9485317653275;-0.000197113037109375;-1.05224609375;185;1 mA;
-1.05133056640625;93.1621547647882;-0.00019525146484375;-1.05316162109375;186;1 mA;
-1.05026245117188;93.3757777642488;-0.000191497802734375;-1.05072021484375;187;1 mA;
