Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Index;Current range
-1.19888305664063;821.513191925879;-0.000320037841796875;-1.199951171875;1;1 mA
-1.19781494140625;821.726814925339;-0.00024066162109375;-1.19873046875;2;1 mA
-1.19674682617188;821.9404379248;-0.000203521728515625;-1.1993408203125;3;1 mA
-1.1956787109375;822.154060924261;-0.000181671142578125;-1.1956787109375;4;1 mA
-1.19461059570313;822.367683923721;-0.000167327880859375;-1.195068359375;5;1 mA
-1.19354248046875;822.581306923182;-0.000156890869140625;-1.1944580078125;6;1 mA
-1.19247436523438;822.794929922643;-0.00014862060546875;-1.1920166015625;7;1 mA
-1.19140625;823.008552922103;-0.000142822265625;-1.19171142578125;8;1 mA
-1.19033813476563;823.222175921564;-0.000137451171875;-1.19110107421875;9;1 mA
-1.18927001953125;823.435798921024;-0.00013323974609375;-1.18988037109375;10;1 mA
-1.18820190429688;823.649421920485;-0.000130035400390625;-1.19049072265625;11;1 mA
-1.1871337890625;823.863044919946;-0.000127532958984375;-1.18896484375;12;1 mA
-1.18606567382813;824.076667919406;-0.000124847412109375;-1.1865234375;13;1 mA
-1.18499755859375;824.290290918867;-0.000122955322265625;-1.18560791015625;14;1 mA
-1.18392944335938;824.503913918328;-0.000121490478515625;-1.18408203125;15;1 mA
-1.182861328125;824.717536917788;-0.000119720458984375;-1.182861328125;16;1 mA
-1.18179321289063;824.931159917249;-0.000118255615234375;-1.18194580078125;17;1 mA
-1.18072509765625;825.14478291671;-0.00011712646484375;-1.181640625;18;1 mA
-1.17965698242188;825.35840591617;-0.000115570068359375;-1.17950439453125;19;1 mA
-1.1785888671875;825.572028915631;-0.000114593505859375;-1.1798095703125;20;1 mA
-1.17752075195313;825.785651915092;-0.000113800048828125;-1.177978515625;21;1 mA
-1.17645263671875;825.999274914552;-0.00011279296875;-1.17767333984375;22;1 mA
-1.17538452148438;826.212897914013;-0.00011181640625;-1.1761474609375;23;1 mA
-1.17431640625;826.426520913474;-0.00011138916015625;-1.1749267578125;24;1 mA
-1.17324829101563;826.640143912934;-0.0001102294921875;-1.1749267578125;25;1 mA
-1.17218017578125;826.853766912395;-0.000109466552734375;-1.17279052734375;26;1 mA
-1.17111206054688;827.067389911856;-0.00010882568359375;-1.1724853515625;27;1 mA
-1.1700439453125;827.281012911316;-0.000107879638671875;-1.1700439453125;28;1 mA
-1.16897583007813;827.494635910777;-0.0001068115234375;-1.16912841796875;29;1 mA
-1.16790771484375;827.708258910238;-0.000106353759765625;-1.16912841796875;30;1 mA
-1.16683959960938;827.921881909698;-0.00010552978515625;-1.1676025390625;31;1 mA
-1.165771484375;828.135504909159;-0.00010443115234375;-1.1669921875;32;1 mA
-1.16470336914063;828.349127908619;-0.000103729248046875;-1.1651611328125;33;1 mA
-1.16363525390625;828.56275090808;-0.000102874755859375;-1.165771484375;34;1 mA
-1.16256713867188;828.776373907541;-0.000101898193359375;-1.16302490234375;35;1 mA
-1.1614990234375;828.989996907001;-0.000101165771484375;-1.16363525390625;36;1 mA
-1.16043090820313;829.203619906462;-0.000100189208984375;-1.160888671875;37;1 mA
-1.15936279296875;829.417242905923;-9.9212646484375E-05;-1.16058349609375;38;1 mA
-1.15829467773438;829.630865905383;-9.8358154296875E-05;-1.15936279296875;39;1 mA
-1.1572265625;829.844488904844;-9.783935546875E-05;-1.15814208984375;40;1 mA
-1.15615844726563;830.058111904305;-9.6343994140625E-05;-1.15753173828125;41;1 mA
-1.15509033203125;830.271734903765;-9.55810546875E-05;-1.15570068359375;42;1 mA
-1.15402221679688;830.485357903226;-9.4879150390625E-05;-1.15478515625;43;100 µA
-1.1529541015625;830.698980902687;-9.3597412109375E-05;-1.1529541015625;44;100 µA
-1.15188598632813;830.912603902147;-9.2437744140625E-05;-1.153564453125;45;100 µA
-1.15081787109375;831.126226901608;-9.1827392578125E-05;-1.1517333984375;46;100 µA
-1.14974975585938;831.339849901069;-9.0576171875E-05;-1.14898681640625;47;100 µA
-1.148681640625;831.553472900529;-8.966064453125E-05;-1.14898681640625;48;100 µA
-1.14761352539063;831.76709589999;-8.892822265625E-05;-1.14898681640625;49;100 µA
-1.14654541015625;831.980718899451;-8.7615966796875E-05;-1.146240234375;50;100 µA
-1.14547729492188;832.194341898911;-8.648681640625E-05;-1.14593505859375;51;100 µA
-1.1444091796875;832.407964898372;-8.5845947265625E-05;-1.14593505859375;52;100 µA
-1.14334106445313;832.621587897833;-8.465576171875E-05;-1.143798828125;53;100 µA
-1.14227294921875;832.835210897293;-8.331298828125E-05;-1.14288330078125;54;100 µA
-1.14120483398438;833.048833896754;-8.2733154296875E-05;-1.1419677734375;55;100 µA
-1.14013671875;833.262456896215;-8.1756591796875E-05;-1.14227294921875;56;100 µA
-1.13906860351563;833.476079895675;-8.02001953125E-05;-1.1395263671875;57;100 µA
-1.13800048828125;833.689702895136;-7.965087890625E-05;-1.138916015625;58;100 µA
-1.13693237304688;833.903325894596;-7.867431640625E-05;-1.1370849609375;59;100 µA
-1.1358642578125;834.116948894057;-7.7362060546875E-05;-1.136474609375;60;100 µA
-1.13479614257813;834.330571893518;-7.659912109375E-05;-1.13555908203125;61;100 µA
-1.13372802734375;834.544194892978;-7.5714111328125E-05;-1.1346435546875;62;100 µA
-1.13265991210938;834.757817892439;-7.4493408203125E-05;-1.13372802734375;63;100 µA
-1.131591796875;834.9714408919;-7.379150390625E-05;-1.1328125;64;100 µA
-1.13052368164063;835.18506389136;-7.2845458984375E-05;-1.1309814453125;65;100 µA
-1.12945556640625;835.398686890821;-7.1533203125E-05;-1.13006591796875;66;100 µA
-1.12838745117188;835.612309890282;-7.073974609375E-05;-1.1297607421875;67;100 µA
-1.1273193359375;835.825932889742;-7.0220947265625E-05;-1.12701416015625;68;100 µA
-1.12625122070313;836.039555889203;-6.866455078125E-05;-1.1273193359375;69;100 µA
-1.12518310546875;836.253178888664;-6.793212890625E-05;-1.12762451171875;70;100 µA
-1.12411499023438;836.466801888124;-6.7413330078125E-05;-1.124267578125;71;100 µA
-1.123046875;836.680424887585;-6.6314697265625E-05;-1.12396240234375;72;100 µA
-1.12197875976563;836.894047887046;-6.5277099609375E-05;-1.1224365234375;73;100 µA
-1.12091064453125;837.107670886506;-6.48193359375E-05;-1.1212158203125;74;100 µA
-1.11984252929688;837.321293885967;-6.3812255859375E-05;-1.12030029296875;75;100 µA
-1.1187744140625;837.534916885428;-6.280517578125E-05;-1.11968994140625;76;100 µA
-1.11770629882813;837.748539884888;-6.2255859375E-05;-1.11907958984375;77;100 µA
-1.11663818359375;837.962162884349;-6.1248779296875E-05;-1.11724853515625;78;100 µA
-1.11557006835938;838.17578588381;-6.036376953125E-05;-1.11602783203125;79;100 µA
-1.114501953125;838.38940888327;-5.9844970703125E-05;-1.1151123046875;80;100 µA
-1.11343383789063;838.603031882731;-5.8868408203125E-05;-1.1138916015625;81;100 µA
-1.11236572265625;838.816654882192;-5.7708740234375E-05;-1.11175537109375;82;100 µA
-1.11129760742188;839.030277881652;-5.7342529296875E-05;-1.112060546875;83;100 µA
-1.1102294921875;839.243900881113;-5.6640625E-05;-1.1090087890625;84;100 µA
-1.10916137695313;839.457523880573;-5.5419921875E-05;-1.1083984375;85;100 µA
-1.10809326171875;839.671146880034;-5.5267333984375E-05;-1.10870361328125;86;100 µA
-1.10702514648438;839.884769879495;-5.4473876953125E-05;-1.10687255859375;87;100 µA
-1.10595703125;840.098392878955;-5.3314208984375E-05;-1.1065673828125;88;100 µA
-1.10488891601563;840.312015878416;-5.2978515625E-05;-1.10504150390625;89;100 µA
-1.10382080078125;840.525638877877;-5.2215576171875E-05;-1.10443115234375;90;100 µA
-1.10275268554688;840.739261877337;-5.1025390625E-05;-1.10321044921875;91;100 µA
-1.1016845703125;840.952884876798;-5.072021484375E-05;-1.102294921875;92;100 µA
-1.10061645507813;841.166507876259;-5.0018310546875E-05;-1.10198974609375;93;100 µA
-1.09954833984375;841.380130875719;-4.901123046875E-05;-1.0986328125;94;100 µA
-1.09848022460938;841.59375387518;-4.87060546875E-05;-1.09893798828125;95;100 µA
-1.097412109375;841.807376874641;-4.8126220703125E-05;-1.09832763671875;96;100 µA
-1.09634399414063;842.020999874101;-4.7149658203125E-05;-1.09649658203125;97;100 µA
-1.09527587890625;842.234622873562;-4.67529296875E-05;-1.09588623046875;98;100 µA
-1.09420776367188;842.448245873023;-4.6417236328125E-05;-1.09405517578125;99;100 µA
-1.0931396484375;842.661868872483;-4.5440673828125E-05;-1.09344482421875;100;100 µA
-1.09207153320313;842.875491871944;-4.4952392578125E-05;-1.09222412109375;101;100 µA
-1.09100341796875;843.089114871405;-4.4708251953125E-05;-1.0931396484375;102;100 µA
-1.08993530273438;843.302737870865;-4.364013671875E-05;-1.09100341796875;103;100 µA
-1.0888671875;843.516360870326;-4.327392578125E-05;-1.09039306640625;104;100 µA
-1.08779907226563;843.729983869787;-4.2999267578125E-05;-1.0888671875;105;100 µA
-1.08673095703125;843.943606869247;-4.2205810546875E-05;-1.0858154296875;106;100 µA
-1.08566284179688;844.157229868708;-4.1595458984375E-05;-1.08734130859375;107;100 µA
-1.0845947265625;844.370852868169;-4.150390625E-05;-1.085205078125;108;100 µA
-1.08352661132813;844.584475867629;-4.0771484375E-05;-1.08428955078125;109;100 µA
-1.08245849609375;844.79809886709;-4.0069580078125E-05;-1.08367919921875;110;100 µA
-1.08139038085938;845.01172186655;-4.00390625E-05;-1.0821533203125;111;100 µA
-1.080322265625;845.225344866011;-3.94287109375E-05;-1.08154296875;112;100 µA
-1.07925415039063;845.438967865472;-3.8726806640625E-05;-1.0797119140625;113;100 µA
-1.07818603515625;845.652590864932;-3.8543701171875E-05;-1.0791015625;114;100 µA
-1.07711791992188;845.866213864393;-3.80859375E-05;-1.077880859375;115;100 µA
-1.0760498046875;846.079836863854;-3.7322998046875E-05;-1.07635498046875;116;100 µA
-1.07498168945313;846.293459863314;-3.7200927734375E-05;-1.07574462890625;117;100 µA
-1.07391357421875;846.507082862775;-3.6590576171875E-05;-1.07513427734375;118;100 µA
-1.07284545898438;846.720705862236;-3.5614013671875E-05;-1.07391357421875;119;100 µA
-1.07177734375;846.934328861696;-3.5736083984375E-05;-1.07269287109375;120;100 µA
-1.07070922851563;847.147951861157;-3.5369873046875E-05;-1.07086181640625;121;100 µA
-1.06964111328125;847.361574860618;-3.466796875E-05;-1.06964111328125;122;100 µA
-1.06857299804688;847.575197860078;-3.45458984375E-05;-1.0687255859375;123;100 µA
-1.0675048828125;847.788820859539;-3.4149169921875E-05;-1.0693359375;124;100 µA
-1.06643676757813;848.002443859;-3.3477783203125E-05;-1.06689453125;125;100 µA
-1.06536865234375;848.21606685846;-3.338623046875E-05;-1.065673828125;126;100 µA
-1.06430053710938;848.429689857921;-3.3050537109375E-05;-1.065673828125;127;100 µA
-1.063232421875;848.643312857382;-3.253173828125E-05;-1.0638427734375;128;100 µA
-1.06216430664063;848.856935856842;-3.22265625E-05;-1.06292724609375;129;100 µA
-1.06109619140625;849.070558856303;-3.216552734375E-05;-1.063232421875;130;100 µA
-1.06002807617188;849.284181855764;-3.155517578125E-05;-1.0601806640625;131;100 µA
-1.0589599609375;849.497804855224;-3.131103515625E-05;-1.05926513671875;132;100 µA
-1.05789184570313;849.711427854685;-3.125E-05;-1.05804443359375;133;100 µA
-1.05682373046875;849.925050854146;-3.0426025390625E-05;-1.0577392578125;134;100 µA
-1.05575561523438;850.138673853606;-3.0242919921875E-05;-1.05621337890625;135;100 µA
-1.0546875;850.352296853067;-3.0364990234375E-05;-1.05621337890625;136;100 µA
-1.05361938476563;850.565919852527;-2.960205078125E-05;-1.0546875;137;100 µA
-1.05255126953125;850.779542851988;-2.9296875E-05;-1.053466796875;138;100 µA
-1.05148315429688;850.993165851449;-2.9296875E-05;-1.0528564453125;139;100 µA
-1.0504150390625;851.206788850909;-2.886962890625E-05;-1.05255126953125;140;100 µA
-1.04934692382813;851.42041185037;-2.8472900390625E-05;-1.0504150390625;141;100 µA
-1.04827880859375;851.634034849831;-2.84423828125E-05;-1.04888916015625;142;100 µA
-1.04721069335938;851.847657849291;-2.79541015625E-05;-1.04827880859375;143;100 µA
-1.046142578125;852.061280848752;-2.764892578125E-05;-1.046142578125;144;100 µA
-1.04507446289063;852.274903848213;-2.7618408203125E-05;-1.04583740234375;145;100 µA
-1.04400634765625;852.488526847673;-2.7252197265625E-05;-1.044921875;146;100 µA
-1.04293823242188;852.702149847134;-2.67333984375E-05;-1.0430908203125;147;100 µA
-1.0418701171875;852.915772846595;-2.6824951171875E-05;-1.04217529296875;148;100 µA
-1.04080200195313;853.129395846055;-2.655029296875E-05;-1.04095458984375;149;100 µA
-1.03973388671875;853.343018845516;-2.587890625E-05;-1.04156494140625;150;100 µA
-1.03866577148438;853.556641844977;-2.60009765625E-05;-1.03973388671875;151;100 µA
-1.03759765625;853.770264844437;-2.606201171875E-05;-1.03790283203125;152;100 µA
-1.03652954101563;853.983887843898;-2.5299072265625E-05;-1.0357666015625;153;100 µA
-1.03546142578125;854.197510843359;-2.545166015625E-05;-1.03607177734375;154;100 µA
-1.03439331054688;854.411133842819;-2.490234375E-05;-1.03485107421875;155;100 µA
-1.0333251953125;854.62475684228;-2.459716796875E-05;-1.03240966796875;156;100 µA
-1.03225708007813;854.838379841741;-2.4627685546875E-05;-1.03271484375;157;100 µA
-1.03118896484375;855.052002841201;-2.4505615234375E-05;-1.03271484375;158;100 µA
-1.03012084960938;855.265625840662;-2.3895263671875E-05;-1.03118896484375;159;100 µA
-1.029052734375;855.479248840123;-2.4078369140625E-05;-1.0302734375;160;100 µA
-1.02798461914063;855.692871839583;-2.398681640625E-05;-1.02813720703125;161;100 µA
-1.02691650390625;855.906494839044;-2.3406982421875E-05;-1.02813720703125;162;100 µA
-1.02584838867188;856.120117838504;-2.3284912109375E-05;-1.0260009765625;163;100 µA
-1.0247802734375;856.333740837965;-2.34375E-05;-1.0247802734375;164;100 µA
-1.02371215820313;856.547363837426;-2.288818359375E-05;-1.0247802734375;165;100 µA
-1.02264404296875;856.760986836886;-2.2705078125E-05;-1.02294921875;166;100 µA
-1.02157592773438;856.974609836347;-2.2979736328125E-05;-1.02264404296875;167;100 µA
-1.0205078125;857.188232835808;-2.264404296875E-05;-1.0211181640625;168;100 µA
-1.01943969726563;857.401855835268;-2.215576171875E-05;-1.021728515625;169;100 µA
-1.01837158203125;857.615478834729;-2.2308349609375E-05;-1.01776123046875;170;100 µA
-1.01730346679688;857.82910183419;-2.191162109375E-05;-1.01806640625;171;100 µA
-1.0162353515625;858.04272483365;-2.166748046875E-05;-1.01715087890625;172;100 µA
-1.01516723632813;858.256347833111;-2.1881103515625E-05;-1.01531982421875;173;100 µA
-1.01409912109375;858.469970832572;-2.166748046875E-05;-1.01470947265625;174;100 µA
-1.01303100585938;858.683593832032;-2.139892578125E-05;-1.01348876953125;175;100 µA
-1.011962890625;858.897216831493;-2.1240234375E-05;-1.01226806640625;176;100 µA
-1.01089477539063;859.110839830954;-2.1502685546875E-05;-1.0113525390625;177;100 µA
-1.00982666015625;859.324462830414;-2.091064453125E-05;-1.01226806640625;178;100 µA
-1.00875854492188;859.538085829875;-2.10723876953125E-05;-1.00921630859375;179;100 µA
-1.0076904296875;859.751708829336;-2.099609375E-05;-1.0076904296875;180;100 µA
-1.00662231445313;859.965331828796;-2.0294189453125E-05;-1.00738525390625;181;100 µA
-1.00555419921875;860.178954828257;-2.0550537109375E-05;-1.00830078125;182;100 µA
-1.00448608398438;860.392577827718;-2.0233154296875E-05;-1.00555419921875;183;100 µA
-1.00341796875;860.606200827178;-1.9805908203125E-05;-1.0040283203125;184;100 µA
-1.00234985351563;860.819823826639;-2.00714111328125E-05;-1.0028076171875;185;100 µA
-1.00128173828125;861.0334468261;-2.01690673828125E-05;-1.002197265625;186;100 µA
-1.00021362304688;861.24706982556;-1.95953369140625E-05;-1.00067138671875;187;100 µA
-0.9991455078125;861.460692825021;-1.9317626953125E-05;-0.99884033203125;188;100 µA
-0.998077392578125;861.674315824481;-1.9720458984375E-05;-0.99884033203125;189;100 µA
-0.99700927734375;861.887938823942;-1.9219970703125E-05;-0.99609375;190;100 µA
-0.995941162109375;862.101561823403;-1.903076171875E-05;-0.997314453125;191;100 µA
-0.994873046875;862.315184822863;-1.91497802734375E-05;-0.9954833984375;192;100 µA
-0.993804931640625;862.528807822324;-1.87591552734375E-05;-0.99395751953125;193;100 µA
-0.99273681640625;862.742430821785;-1.85516357421875E-05;-0.99273681640625;194;100 µA
-0.991668701171875;862.956053821245;-1.87286376953125E-05;-0.9918212890625;195;100 µA
-0.9906005859375;863.169676820706;-1.839599609375E-05;-0.99212646484375;196;100 µA
-0.989532470703125;863.383299820167;-1.80816650390625E-05;-0.9893798828125;197;100 µA
-0.98846435546875;863.596922819627;-1.817626953125E-05;-0.98846435546875;198;100 µA
-0.987396240234375;863.810545819088;-1.79168701171875E-05;-0.98663330078125;199;100 µA
-0.986328125;864.024168818549;-1.74591064453125E-05;-0.9869384765625;200;100 µA
-0.985260009765625;864.237791818009;-1.767578125E-05;-0.98602294921875;201;100 µA
-0.98419189453125;864.45141481747;-1.75872802734375E-05;-0.98541259765625;202;100 µA
